Using device: cuda
Loading models...
✓ All models loaded successfully
Starting metrics calculation for realistic prompt...
  Processing category: bottle
    ✔️ bbox rep5: RCNN=0.000, YOLO=0.000
    ✔️ segmentation rep0: RCNN=0.000, YOLO=0.000
    ✔️ segmentation rep5: RCNN=0.000, YOLO=0.000
    ✔️ bbox rep0: RCNN=0.792, YOLO=0.501
    ✔️ bbox rep5: RCNN=0.113, YOLO=0.000
    ✔️ segmentation rep0: RCNN=0.690, YOLO=0.784
    ✔️ segmentation rep5: RCNN=0.799, YOLO=0.342
    ✔️ bbox rep0: RCNN=0.944, YOLO=0.000
    ✔️ bbox rep5: RCNN=0.996, YOLO=0.910
    ✔️ segmentation rep0: RCNN=0.969, YOLO=0.613
    ✔️ segmentation rep5: RCNN=0.976, YOLO=0.817
    ✔️ bbox rep0: RCNN=0.989, YOLO=0.860
    ✔️ bbox rep5: RCNN=0.309, YOLO=0.000
    ✔️ segmentation rep0: RCNN=0.433, YOLO=0.737
    ✔️ segmentation rep5: RCNN=0.958, YOLO=0.822
    ✔️ bbox rep0: RCNN=0.594, YOLO=0.467
    ✔️ bbox rep5: RCNN=0.467, YOLO=0.274
    ✔️ segmentation rep0: RCNN=0.724, YOLO=0.451
    ✔️ segmentation rep5: RCNN=0.425, YOLO=0.289
    ✔️ bbox rep0: RCNN=0.953, YOLO=0.610
    ✔️ bbox rep5: RCNN=0.879, YOLO=0.588
    ✔️ segmentation rep0: RCNN=0.627, YOLO=0.000
    ✔️ segmentation rep5: RCNN=0.937, YOLO=0.000
    ✔️ bbox rep0: RCNN=0.250, YOLO=0.000
    ✔️ bbox rep5: RCNN=0.083, YOLO=0.000
    ✔️ segmentation rep0: RCNN=0.935, YOLO=0.605
    ✔️ segmentation rep5: RCNN=0.993, YOLO=0.756
    ✔️ bbox rep0: RCNN=0.000, YOLO=0.000
    ✔️ bbox rep5: RCNN=0.000, YOLO=0.000
    ✔️ segmentation rep0: RCNN=0.000, YOLO=0.000
    ✔️ segmentation rep5: RCNN=0.000, YOLO=0.000
    ✔️ bbox rep0: RCNN=0.863, YOLO=0.000
    ✔️ bbox rep5: RCNN=0.000, YOLO=0.000
    ✔️ segmentation rep0: RCNN=0.192, YOLO=0.000
    ✔️ segmentation rep5: RCNN=0.958, YOLO=0.373
    ✔️ bbox rep0: RCNN=0.960, YOLO=0.856
    ✔️ bbox rep5: RCNN=0.958, YOLO=0.858
    ✔️ segmentation rep0: RCNN=0.994, YOLO=0.756
    ✔️ segmentation rep5: RCNN=0.907, YOLO=0.757
    ✔️ bbox rep0: RCNN=0.000, YOLO=0.000
    ✔️ bbox rep5: RCNN=0.000, YOLO=0.000
    ✔️ segmentation rep0: RCNN=0.000, YOLO=0.000
    ✔️ segmentation rep5: RCNN=0.000, YOLO=0.000
    ✔️ bbox rep0: RCNN=0.150, YOLO=0.000
    ✔️ bbox rep5: RCNN=0.953, YOLO=0.696
    ✔️ segmentation rep0: RCNN=0.765, YOLO=0.530
    ✔️ segmentation rep5: RCNN=0.995, YOLO=0.703
    ✔️ bbox rep0: RCNN=0.000, YOLO=0.000
    ✔️ bbox rep5: RCNN=0.000, YOLO=0.000
    ✔️ segmentation rep0: RCNN=0.993, YOLO=0.903
    ✔️ segmentation rep5: RCNN=0.963, YOLO=0.822
    ✔️ bbox rep0: RCNN=0.989, YOLO=0.858
    ✔️ bbox rep5: RCNN=0.000, YOLO=0.000
    ✔️ segmentation rep0: RCNN=0.000, YOLO=0.000
    ✔️ segmentation rep5: RCNN=0.000, YOLO=0.000
    ✔️ bbox rep0: RCNN=0.642, YOLO=0.000
    ✔️ bbox rep5: RCNN=0.725, YOLO=0.331
    ✔️ segmentation rep0: RCNN=0.963, YOLO=0.251
    ✔️ segmentation rep5: RCNN=0.845, YOLO=0.401
    ✔️ bbox rep0: RCNN=0.954, YOLO=0.000
    ✔️ bbox rep5: RCNN=0.950, YOLO=0.921
    ✔️ segmentation rep0: RCNN=0.996, YOLO=0.892
    ✔️ segmentation rep5: RCNN=0.997, YOLO=0.920
    ✔️ bbox rep0: RCNN=0.844, YOLO=0.000
    ✔️ bbox rep5: RCNN=0.626, YOLO=0.306
    ✔️ segmentation rep0: RCNN=0.737, YOLO=0.275
    ✔️ segmentation rep5: RCNN=0.505, YOLO=0.347
    ✔️ bbox rep0: RCNN=0.972, YOLO=0.537
    ✔️ bbox rep5: RCNN=0.945, YOLO=0.512
    ✔️ segmentation rep0: RCNN=0.906, YOLO=0.430
    ✔️ segmentation rep5: RCNN=0.905, YOLO=0.492
    ✔️ bbox rep0: RCNN=0.000, YOLO=0.000
    ✔️ bbox rep5: RCNN=0.000, YOLO=0.000
    ✔️ segmentation rep0: RCNN=0.947, YOLO=0.256
    ✔️ segmentation rep5: RCNN=0.779, YOLO=0.000
    ✔️ bbox rep0: RCNN=0.404, YOLO=0.434
    ✔️ bbox rep5: RCNN=0.960, YOLO=0.914
    ✔️ segmentation rep0: RCNN=0.765, YOLO=0.689
    ✔️ segmentation rep5: RCNN=0.578, YOLO=0.000
    ✔️ bbox rep0: RCNN=0.257, YOLO=0.000
    ✔️ bbox rep5: RCNN=0.129, YOLO=0.000
    ✔️ segmentation rep0: RCNN=0.120, YOLO=0.000
    ✔️ segmentation rep5: RCNN=0.232, YOLO=0.000
    ✔️ bbox rep0: RCNN=0.000, YOLO=0.000
    ✔️ bbox rep5: RCNN=0.000, YOLO=0.000
    ✔️ segmentation rep0: RCNN=0.000, YOLO=0.000
    ✔️ segmentation rep5: RCNN=0.000, YOLO=0.000
    ✔️ bbox rep0: RCNN=0.960, YOLO=0.771
    ✔️ bbox rep5: RCNN=0.904, YOLO=0.708
    ✔️ segmentation rep0: RCNN=0.943, YOLO=0.917
    ✔️ segmentation rep5: RCNN=0.986, YOLO=0.921
    ✔️ bbox rep0: RCNN=0.180, YOLO=0.000
    ✔️ bbox rep5: RCNN=0.369, YOLO=0.000
    ✔️ segmentation rep0: RCNN=0.156, YOLO=0.000
    ✔️ segmentation rep5: RCNN=0.333, YOLO=0.000
    ✔️ bbox rep0: RCNN=0.000, YOLO=0.000
    ✔️ bbox rep5: RCNN=0.952, YOLO=0.477
    ✔️ segmentation rep0: RCNN=0.898, YOLO=0.570
    ✔️ segmentation rep5: RCNN=0.252, YOLO=0.000
    ✔️ bbox rep0: RCNN=0.771, YOLO=0.435
    ✔️ bbox rep5: RCNN=0.987, YOLO=0.705
    ✔️ segmentation rep0: RCNN=0.619, YOLO=0.255
    ✔️ segmentation rep5: RCNN=0.980, YOLO=0.871
    ✔️ bbox rep0: RCNN=0.952, YOLO=0.354
    ✔️ bbox rep5: RCNN=0.000, YOLO=0.000
    ✔️ segmentation rep0: RCNN=0.983, YOLO=0.828
    ✔️ segmentation rep5: RCNN=0.997, YOLO=0.893
    ✔️ bbox rep0: RCNN=0.051, YOLO=0.000
    ✔️ bbox rep5: RCNN=0.000, YOLO=0.000
    ✔️ segmentation rep0: RCNN=0.000, YOLO=0.000
    ✔️ segmentation rep5: RCNN=0.052, YOLO=0.000
    ✔️ bbox rep0: RCNN=0.611, YOLO=0.415
    ✔️ bbox rep5: RCNN=0.411, YOLO=0.327
    ✔️ segmentation rep0: RCNN=0.638, YOLO=0.420
    ✔️ segmentation rep5: RCNN=0.670, YOLO=0.467
    ✔️ bbox rep0: RCNN=0.818, YOLO=0.394
    ✔️ bbox rep5: RCNN=0.842, YOLO=0.534
    ✔️ segmentation rep0: RCNN=0.739, YOLO=0.417
    ✔️ segmentation rep5: RCNN=0.809, YOLO=0.539
    ✔️ bbox rep0: RCNN=0.719, YOLO=0.000
    ✔️ bbox rep5: RCNN=0.155, YOLO=0.000
    ✔️ segmentation rep0: RCNN=0.627, YOLO=0.000
    ✔️ segmentation rep5: RCNN=0.103, YOLO=0.000
    ✔️ bbox rep0: RCNN=0.000, YOLO=0.000
    ✔️ bbox rep5: RCNN=0.000, YOLO=0.000
    ✔️ segmentation rep0: RCNN=0.000, YOLO=0.000
    ✔️ segmentation rep5: RCNN=0.931, YOLO=0.000
    ✔️ bbox rep0: RCNN=0.000, YOLO=0.000
